intro,name,points,rank
愿我们都不用长大，每一座城堡都能永远存在。,头脑特工队,8.7,187
,,,
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,房间,8.8,188
,,,
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,魔女宅急便,8.5,189
,,,
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,谍影重重,8.5,190
,,,
谁说王家卫镜头很晃？,谍影重重2,8.6,191
,,,
故事的反转与反转，分裂电影的始祖。,惊魂记,8.9,192
,,,
养狗三日，便会对你终其一生。,忠犬八公物语,9,193
,,,
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,青蛇,8.4,194
,,,
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,模仿游戏,8.6,195
,,,
爱我就给我看你的播放列表。,再次出发之纽约遇见你,8.5,196
,,,
我的平常生活就是他人的幸福。,无人知晓,9,197
,,,
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,东京物语,9.2,198
,,,
想你时你在闹海。,哪吒闹海,8.9,199
,,,
惠及一生的美丽。,一个叫欧维的男人决定去死,8.7,200
,,,
,小萝莉的猴神大叔,8.5,201
,,,
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,碧海蓝天,8.7,202
,,,
,完美陌生人,8.6,203
,,,
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,你的名字。,8.4,204
,,,
没有了退路，只好飞向自由。,末路狂花,8.7,205
,,,
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,源代码,8.3,206
,,,
少见的超越首部的续集，动作片中的经典。,终结者2：审判日,8.6,207
,,,
青春就是放弃和怀念。,秒速5厘米,8.3,208
,,,
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,黑客帝国3：矩阵革命,8.5,209
,,,
嬉笑怒骂，调风动月。,新龙门客栈,8.5,210
,,,
天使暂时离开。,绿里奇迹,8.7,211
,,,
生命不止，摇滚不死。,海盗电台,8.6,212
,,,
科幻真正的魅力不是视觉效果能取代的。 ,这个男人来自地球,8.5,213
,,,
类型片的极致。 ,勇闯夺命岛,8.5,214
,,,
永远的小人物，伟大的卓别林。,城市之光,9.2,215
,,,
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,卡萨布兰卡,8.6,216
,,,
昆汀同学越来越变态了，比北野武还杜琪峰。,无耻混蛋,8.4,217
,,,
黑小鸭速效美白记。,初恋这件小事,8.3,218
,,,
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,变脸,8.4,219
,,,
我完全康复了。,发条橙,8.4,220
,,,
生病的E.T.皮肤的颜色就像柿子饼。,E.T. 外星人,8.5,221
,,,
最棒的西部片。,黄金三镖客,9.1,222
,,,
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,爱在午夜降临前,8.8,223
,,,
每个人的内心都是深不可测的大海。 ,美国丽人,8.4,224
,,,
出门必备：本草纲目。,荒野生存,8.6,225
,,,
最美的飞翔。,迁徙的鸟,9.1,226
,,,
迪士尼和皮克斯拿错剧本的产物。,无敌破坏王,8.6,227
,,,
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,步履不停,8.8,228
,,,
中国版《两杆大烟枪》。,疯狂的石头,8.3,229
,,,
"In memory, love lives forever...",英国病人,8.4,230
,,,
现实与童话交相辉映的旅程。,燕尾蝶,8.6,231
,,,
我不信仰上帝，但我敬畏上帝。,非常嫌疑犯,8.6,232
,,,
小成本大魅力。,彗星来的那一夜,8.4,233
,,,
热血沸腾，相当完美的娱乐拳击大餐。,勇士,8.9,234
,,,
皇上无话儿。,国王的演讲,8.3,235
,,,
每个美丽事物背后都是滴血的现实。,血钻,8.5,236
,,,
乐观比一切都有力量。,叫我第一名,8.6,237
,,,
大卫·林奇的梦境迷宫。,穆赫兰道,8.3,238
,,,
,海街日记,8.6,239
,,,
,聚焦,8.8,240
,,,
纯净原始的笑与感动。,上帝也疯狂,8.6,241
,,,
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,枪火,8.6,242
,,,
你要相信，这世上真的有爱存在，不管在什么年纪 ,我爱你,9,243
,,,
用剩余不多的时间，去燃烧整个生命。,遗愿清单,8.5,244
,,,
捍卫人权只是信仰，一点不妨碍其行为的残忍。,大卫·戈尔的一生,8.6,245
,,,
还原真实而残酷的战争。,黑鹰坠落,8.5,246
,,,
一个人的独角戏。,荒岛余生,8.5,247
,,,
青春的窃窃私语。 ,蓝色大门,8.3,248
,,,
一部能引人思考的科幻励志片。,千钧一发,8.7,249
,,,
献给所有外婆的电影。,爱·回家,9,250
intro,name,points,rank
希望让人自由。,肖申克的救赎,9.6,1
风华绝代。,霸王别姬,9.5,2
怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,9.4,3
一部美国近现代史。,阿甘正传,9.4,4
最美的谎言。,美丽人生,9.5,5
失去的才是永恒的。 ,泰坦尼克号,9.3,6
最好的宫崎骏，最好的久石让。 ,千与千寻,9.3,7
拯救一个人，就是拯救整个世界。,辛德勒的名单,9.4,8
诺兰给了我们一场无法盗取的梦。,盗梦空间,9.3,9
小瓦力，大人生。,机器人总动员,9.3,10
英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞,9.2,11
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师,9.2,12
永远都不能忘记你所爱的人。,忠犬八公的故事,9.2,13
天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天,9.2,14
一生所爱。,大话西游之大圣娶亲,9.2,15
如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,9.1,16
人人心中都有个龙猫，童年就永远不会消失。,龙猫,9.1,17
千万不要记恨你的对手，这样会让你失去理智。,教父,9.2,18
爱是一种力量，让我们超越时空感知它的存在。,星际穿越,9.2,19
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉,9.2,20
满满温情的高雅喜剧。,触不可及,9.2,21
Tomorrow is another day.,乱世佳人,9.2,22
香港电影史上永不过时的杰作。,无间道,9.1,23
平民励志片。 ,当幸福来敲门,8.9,24
真正的幸福是来自内心深处。,怦然心动,8.9,25
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,天堂电影院,9.1,26
1957年的理想主义。 ,十二怒汉,9.4,27
瑰丽壮观、无人能及的冒险之旅。,少年派的奇幻漂流,9.0,28
无尽的黑暗。,蝙蝠侠：黑暗骑士,9.1,29
对敌人的仁慈，就是对自己残忍。,鬼子来了,9.2,30
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,搏击俱乐部,9.0,31
张艺谋最好的电影。,活着,9.1,32
史诗的终章。,指环王3：王者无敌,9.1,33
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,疯狂动物城,9.1,34
对天空的追逐，永不停止。 ,天空之城,9.0,35
旷古烁今。,大话西游之月光宝盒,8.9,36
爱情哪怕只有一天。,罗马假日,8.9,37
最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记,8.9,38
比利·怀德满分作品。,控方证人,9.6,39
别样人生。,窃听风暴,9.1,40
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,两杆大烟枪,9.1,41
自由万岁。,飞越疯人院,9.0,42
史上最美的探戈。,闻香识女人,8.9,43
带着心爱的人在天空飞翔。,哈尔的移动城堡,8.9,44
电影的现实意义大过电影本身。,辩护人,9.1,45
海豚的微笑，是世界上最高明的伪装。,海豚湾,9.3,46
一张面具背后的理想与革命。,V字仇杀队,8.8,47
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社,9.0,48
优雅的孤独。,教父2,9.1,49
爱是一切逻辑和原由。,美丽心灵,8.9,50
承前启后的史诗篇章。,指环王2：双塔奇兵,9.0,51
传说的开始。,指环王1：魔戒再现,8.9,52
人生不能像做菜，把所有的料都准备好了才下锅。,饮食男女,9.1,53
暗恋的极致。,情书,8.8,54
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,摔跤吧！爸爸,9.1,55
往事如烟，无处祭奠。,美国往事,9.1,56
动物版《哈姆雷特》。,狮子王,8.9,57
音乐能化解仇恨。,钢琴家,9.0,58
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,素媛,9.1,59
法式小清新。 ,天使爱美丽,8.7,60
奔跑的孩子是天使。,小鞋子,9.2,61
警察抓小偷，老鼠玩死猫。,七宗罪,8.7,62
以戏谑来戏谑戏谑。,被嫌弃的松子的一生,8.9,63
孪生蝙蝠侠大战克隆金刚狼。,致命魔术,8.8,64
在时间之河里感受溺水之苦。,本杰明·巴顿奇事,8.8,65
用音乐化解仇恨，让歌声串起美好。,音乐之声,8.9,66
史诗大片的典范。,勇敢的心,8.8,67
美丽无罪。,西西里的美丽传说,8.8,68
浪漫忧郁的成人童话。,剪刀手爱德华,8.7,69
故事的高级讲法。,低俗小说,8.8,70
视觉革命。,黑客帝国,8.8,71
美利坚精神输出大片No1.,拯救大兵瑞恩,8.9,72
安东尼·霍普金斯的顶级表演。,沉默的羔羊,8.7,73
你以为你以为的就是你以为的。,看不见的客人,8.7,74
你给我翻译翻译，神马叫做TMD的惊喜。,让子弹飞,8.7,75
人的命运被自己瞬间的抉择改变。,蝴蝶效应,8.7,76
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师,8.8,77
爱情纠缠，男女一致。,春光乍泄,8.8,78
经典之作，历久弥新。,大闹天宫,9.3,79
你是我最好的朋友，你是我唯一的朋友 。,玛丽和马克思,8.9,80
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,末代皇帝,9.0,81
人生中应该拥有这样的一段豁然开朗。,心灵捕手,8.8,82
一场华丽的意淫。,阳光灿烂的日子,8.8,83
人与自然的战争史诗。,幽灵公主,8.8,84
深入内心的恐怖，出人意料的结局。,第六感,8.8,85
小清新的故事里注入了大历史的情怀。,布达佩斯大饭店,8.8,86
寂寞没有期限。,重庆森林,8.7,87
昔日翩翩少年，今日大腹便便。,禁闭岛,8.7,88
童话世界的开端。,哈利·波特与魔法石,8.7,89
人言可畏。,狩猎,9.0,90
骗子大师和执著警探的你追我跑故事。 ,猫鼠游戏,8.8,91
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,大鱼,8.7,92
最不可能的那个人永远是最可能的。,致命ID,8.7,93
每个人心中都有一座断背山。,断背山,8.7,94
相逢只要一瞬间，等待却像是一辈子。,甜蜜蜜,8.8,95
百看不厌。 ,射雕英雄传之东成西就,8.7,96
我们都曾经是一一。,一一,8.9,97
没有一人完全善，也没有一人完全恶。,告白,8.7,98
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘,8.8,99
约翰尼·德普的独角戏。,加勒比海盗,8.6,100
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,穿条纹睡衣的男孩,8.9,101
被上帝抛弃了的上帝之城。,上帝之城,8.9,102
大时代中的人生，小人物的悲喜。,摩登时代,9.2,103
绝对意义上的美轮美奂。,阿凡达,8.6,104
缘分是个连绵词，最美不过一瞬。,爱在黎明破晓前,8.7,105
年度最佳date movie。,消失的爱人,8.7,106
动画片的圣经。,风之谷,8.8,107
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时,8.7,108
少女情怀总是诗。,侧耳倾听,8.8,109
穷尽一生，我们要学会的，不过是彼此拥抱。,超脱,8.8,110
梦的勾结。,红辣椒,8.9,111
恐怖分子的“秋菊打官司”。,恐怖直播,8.7,112
两张绝世的脸。 ,倩女幽魂,8.6,113
那些静得只能听见呼吸的日子里，你明白孤独即生活。,小森林 夏秋篇,8.9,114
我是一个演员。,喜剧之王,8.6,115
和谐的生活离不开摸头与被摸头。,驯龙高手,8.7,116
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,菊次郎的夏天,8.7,117
有时候幸福需要等一等。 ,幸福终点站,8.7,118
幸福是生生不息，却难以触及的远。 ,萤火虫之墓,8.7,119
曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂,8.7,120
岁月流逝，来日可追。,岁月神偷,8.6,121
时代悲歌。,七武士,9.2,122
关于连环杀人悬案的集体回忆。,杀人回忆,8.7,123
Mr. I Don't Care其实也有Care的时候。,神偷奶爸,8.5,124
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁,8.5,125
中国家庭的喜怒哀乐忍。,喜宴,8.8,126
真相就在眼前。,电锯惊魂,8.7,127
爱，是个动词。,真爱至上,8.5,128
像吃了苏打饼一样干脆的电影。,谍影重重3,8.7,129
大海啊，不全是水。,海洋,9.0,130
电影诗。,东邪西毒,8.6,131
不要给它起名字，起了名字就有感情了。,怪兽电力公司,8.6,132
一个针管引发的血案。,记忆碎片,8.5,133
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,雨人,8.6,134
黑暗之美。,黑天鹅,8.5,135
老少皆宜，这就是好莱坞动画的魅力。,疯狂原始人,8.7,136
